embedding dimension, vocabulary threshold, data source, category, average ERR, occurence
150, 25, wordnet, Causes, 0.5, 24
50, 20, wordnet, present-participle, 0.496662678031, 1996
50, 20, wordnet, superlative, 0.452103479824, 64
50, 20, wordnet, MemberOf, 0.489433732222, 117
50, 20, wordnet, currency, 0.489032792604, 91
50, 20, wordnet, nationality-adjective, 0.517887793528, 127
50, 20, wordnet, comparative, 0.454765860955, 72
50, 20, wordnet, plural-verbs, 0.467771869603, 1847
50, 20, wordnet, Entails, 0.48800161311, 95
50, 20, wordnet, PartOf, 0.469224949361, 698
50, 20, wordnet, InstanceOf, 0.496106625293, 848
50, 20, wordnet, plural-nouns, 0.471605004445, 3614
50, 20, wordnet, HasContext, 0.494390127368, 768
50, 20, wordnet, SimilarTo, 0.489929787239, 1510
50, 20, wordnet, RelatedTo, 0.488662280702, 80
50, 20, wordnet, past-tense, 0.501078894074, 1897
50, 20, wordnet, man-woman, 0.492891234715, 65
50, 20, wordnet, Antonym, 0.489198957988, 417
50, 20, wordnet, all-capital-cities, 0.389642599376, 111
50, 20, wordnet, city-in-state, 0.494419333185, 2655
50, 20, wordnet, DerivedFrom, 0.48041790078, 3101
50, 20, wordnet, Attribute, 0.486366114045, 126
50, 20, wordnet, adjective-to-adverb, 0.472015307054, 409
50, 20, wordnet, MadeOf, 0.472413793103, 29
50, 20, wordnet, IsA, 0.490471934081, 7424
50, 20, wordnet, Causes, 0.5, 24
200, 40, wordnet, present-participle, 0.475531202834, 1502
200, 40, wordnet, superlative, 0.382272871158, 44
200, 40, wordnet, MemberOf, 0.524278050688, 98
200, 40, wordnet, currency, 0.487284663211, 81
200, 40, wordnet, nationality-adjective, 0.61370985496, 120
200, 40, wordnet, comparative, 0.411604407256, 58
200, 40, wordnet, plural-verbs, 0.485604803953, 1479
200, 40, wordnet, Entails, 0.477406837954, 80
200, 40, wordnet, PartOf, 0.458451583483, 588
200, 40, wordnet, InstanceOf, 0.495814336991, 664
200, 40, wordnet, plural-nouns, 0.504672067317, 2790
200, 40, wordnet, HasContext, 0.490559553399, 628
200, 40, wordnet, SimilarTo, 0.48402410686, 1226
200, 40, wordnet, RelatedTo, 0.486747118939, 73
200, 40, wordnet, past-tense, 0.492299994374, 1429
200, 40, wordnet, man-woman, 0.509692014061, 51
200, 40, wordnet, Antonym, 0.473488429987, 348
200, 40, wordnet, all-capital-cities, 0.413696271362, 96
200, 40, wordnet, city-in-state, 0.495234882363, 2165
200, 40, wordnet, DerivedFrom, 0.473222492397, 2421
200, 40, wordnet, Attribute, 0.455305480641, 107
200, 40, wordnet, adjective-to-adverb, 0.448019429669, 292
200, 40, wordnet, MadeOf, 0.452793560606, 20
200, 40, wordnet, IsA, 0.483814189225, 6316
200, 40, wordnet, Causes, 0.5, 22
100, 25, wordnet, present-participle, 0.488541403164, 1833
100, 25, wordnet, superlative, 0.440685232426, 56
100, 25, wordnet, MemberOf, 0.496137077987, 112
100, 25, wordnet, currency, 0.497280388151, 89
100, 25, wordnet, nationality-adjective, 0.552018287157, 126
100, 25, wordnet, comparative, 0.432786078945, 68
100, 25, wordnet, plural-verbs, 0.476289902482, 1731
100, 25, wordnet, Entails, 0.482245457649, 93
100, 25, wordnet, PartOf, 0.460216911258, 665
100, 25, wordnet, InstanceOf, 0.495461710103, 788
100, 25, wordnet, plural-nouns, 0.485000582319, 3344
100, 25, wordnet, HasContext, 0.492867767521, 702
100, 25, wordnet, SimilarTo, 0.487717850253, 1406
100, 25, wordnet, RelatedTo, 0.493643162393, 78
100, 25, wordnet, past-tense, 0.496053585552, 1730
100, 25, wordnet, man-woman, 0.506438283938, 60
100, 25, wordnet, Antonym, 0.474892028923, 399
100, 25, wordnet, all-capital-cities, 0.420529923961, 108
100, 25, wordnet, city-in-state, 0.493334335621, 2494
100, 25, wordnet, DerivedFrom, 0.476502357834, 2862
100, 25, wordnet, Attribute, 0.464172978165, 119
100, 25, wordnet, adjective-to-adverb, 0.460457088886, 372
100, 25, wordnet, MadeOf, 0.440739298938, 26
100, 25, wordnet, IsA, 0.486636787865, 7051
100, 25, wordnet, Causes, 0.5, 24
50, 5, wordnet, present-participle, 0.495452767012, 2741
50, 5, wordnet, superlative, 0.462094352659, 82
50, 5, wordnet, MemberOf, 0.480662248103, 147
50, 5, wordnet, currency, 0.492832934609, 114
50, 5, wordnet, nationality-adjective, 0.518524175447, 136
50, 5, wordnet, comparative, 0.468422444735, 84
50, 5, wordnet, plural-verbs, 0.472122265623, 2482
50, 5, wordnet, Entails, 0.491063835378, 108
50, 5, wordnet, PartOf, 0.477579435218, 888
50, 5, wordnet, InstanceOf, 0.497393214629, 1084
50, 5, wordnet, plural-nouns, 0.47280702092, 5057
50, 5, wordnet, HasContext, 0.49593379922, 958
50, 5, wordnet, SimilarTo, 0.494701980356, 2045
50, 5, wordnet, RelatedTo, 0.494937275986, 93
50, 5, wordnet, past-tense, 0.497538054783, 2625
50, 5, wordnet, man-woman, 0.481049882265, 81
50, 5, wordnet, Antonym, 0.498075316443, 564
50, 5, wordnet, all-capital-cities, 0.398594135973, 121
50, 5, wordnet, city-in-state, 0.495931356372, 3118
50, 5, wordnet, DerivedFrom, 0.486705749948, 4190
50, 5, wordnet, Attribute, 0.483046518636, 148
50, 5, wordnet, adjective-to-adverb, 0.476891608734, 621
50, 5, wordnet, MadeOf, 0.474098806189, 42
50, 5, wordnet, IsA, 0.493324363273, 9259
50, 5, wordnet, Causes, 0.5, 26
250, 5, wordnet, present-participle, 0.476082471762, 2741
250, 5, wordnet, superlative, 0.448055250086, 82
250, 5, wordnet, MemberOf, 0.49269011238, 147
